a,b,V0,R,C,k,mws_projection_fraction,mws_local_snr_dB,mws_peak_amplitude,mws_rough_frequency_Hz,mws_frequency_Hz,frequency_error_Hz,abs_frequency_error_Hz,original_projection_energy,original_energy_fraction,combined_score
1,0.8,0.8,0.25,0.9,0.48,0.146873792277748,24.6131103029597,0.00623384645051206,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.9,0.7,0.137380748435949,25.9562425063989,0.0133543800369602,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.12,0.04,0.133631988351126,27.1425509739148,0.000323968342552675,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.12,0.08,0.135014862018925,26.6199461986827,0.00038008775180136,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.12,0.14,0.144067161610731,26.0252485435011,0.000850300968587958,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.12,0.22,0.155125007108166,25.1457544645174,0.0027064107971433,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.12,0.32,0.156278728276263,25.9792398974529,0.00578592736352043,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.12,0.48,0.13716562234337,27.7338050852861,0.0106680287611608,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.12,0.7,0.117958961624739,28.100267939791,0.016883966982164,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.2,0.04,0.0733773322732573,22.1417987771094,0.000564400084434264,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.2,0.08,0.111182781657133,26.6636102630966,0.000769134657592208,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.2,0.14,0.138726765698176,26.9114780713755,0.000964952152907931,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.2,0.22,0.139530926188466,28.8877489284351,0.00108581740437,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.2,0.32,0.146645791184057,27.3599803255582,0.00150914591359637,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.2,0.48,0.148243432469467,24.1555455563694,0.00395883828782198,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.2,0.7,0.161393153543232,25.1777565107382,0.00972513403979827,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.5,0.35,0.04,0.0637618675070405,23.493377800547,0.000643271977585653,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
