time_s,mws_output
39.98,0.00227168331059309
40,0.00128438369065513
40.02,0.000645850646332564
40.0399999999999,-0.00148545509184668
40.06,-0.000935862435076443
40.0799999999999,2.07928466122408e-05
40.1,-0.000817624663329426
40.1199999999999,-0.00272223172855333
40.14,-0.00369591662348017
40.16,-0.00355069939642924
40.18,-0.00358700338281015
40.2,-0.00367719817945908
40.2199999999999,-0.00206331200876935
40.24,-0.000944410012164203
40.2599999999999,-0.000727120084748484
40.28,-0.000264936311875946
40.3,0.000329751197937829
40.32,-9.34043880032806e-05
40.34,0.000224018213482214
40.3599999999999,-0.000556440344210794
40.38,-0.00134347303945341
40.3999999999999,-0.000260903227231907
40.42,0.00147223805512153
40.4399999999999,0.00198150223827767
40.46,0.00438722489743986
40.48,0.00610182464098616
40.5,0.00675752742471583
40.52,0.00757700637142762
40.5399999999999,0.00898110257471263
40.56,0.00921295151215861
40.5799999999999,0.00848521819042713
40.6,0.00806191802932781
40.6199999999999,0.00790572580841318
40.64,0.0069824565711942
40.66,0.00559893834977774
40.68,0.00439773891567414
40.7,0.00396481150935884
40.7199999999999,0.000896932628089007
40.74,0.000529631295013093
40.7599999999999,0.000474423028237265
40.78,0.00104528976552274
40.8,-4.18972097414524e-05
40.82,-0.000137350100441323
40.84,-0.00209684068720305
40.8599999999999,-0.00413455984810401
40.88,-0.00498353639620805
40.8999999999999,-0.00640228908648318
40.92,-0.0060506871957132
40.9399999999999,-0.00417689923048972
40.96,-0.00162692749866929
40.98,-0.000511982018807918
41,0.00226863560099391
41.02,0.00315626665119236
41.0399999999999,0.00315689488428426
41.06,0.00311984545406364
41.0799999999999,0.00208182052152582
41.1,1.39123031378981e-05
41.1199999999999,-0.00152330318501335
41.14,-0.00209551833877595
41.16,-0.00285337758617646
41.18,-0.000939136173785361
41.2,0.00146835605820894
41.2199999999999,0.00376712674969122
41.24,0.00512234132202158
41.2599999999999,0.00547815105018499
41.28,0.0028817594637928
41.3,0.00024983198553705
41.32,-0.000512225024148969
41.34,-0.000146595999281143
41.3599999999999,0.00020571782699165
41.38,0.00247691785721236
41.3999999999999,0.00443357550172092
41.42,0.0061184177396471
41.4399999999999,0.00532629127679463
41.46,0.00466505901686036
41.48,0.00378855288774517
41.5,0.00394577223729841
41.52,0.00356519280270856
41.5399999999999,0.004383472722488
41.56,0.00478165707296309
41.5799999999999,0.00504353420155242
41.6,0.00478184688653843
41.6199999999999,0.00129956930546569
41.64,-0.000506605740338242
41.66,-0.00158715460248755
41.68,-0.00281046201278184
41.7,-0.00549942787739282
41.7199999999999,-0.00558173343515221
41.74,-0.00749684006903855
41.7599999999999,-0.00759802226030604
41.78,-0.00857390681573253
41.8,-0.00986529880030448
41.82,-0.00925566027063287
41.84,-0.0070457533510137
41.8599999999999,-0.00675814810820937
41.88,-0.00613105526818544
41.8999999999999,-0.00356542757682642
41.92,-0.00164326063893031
41.9399999999999,-0.000360756940037163
41.96,0.0012475841852566
41.98,0.00260175625240394
42,0.00507950751764965
42.02,0.00416769274991098
42.0399999999999,0.000806860263200131
42.06,-0.00185954694108185
42.0799999999999,-0.00241525954083134
42.1,-0.00199857905365285
42.1199999999999,-0.000925678487838352
42.14,0.000577138388194589
42.16,0.001490795098442
42.18,0.00107855323797952
42.2,-0.00183446866426545
42.2199999999999,-0.0041656934059406
42.24,-0.00507999376811035
42.2599999999999,-0.00503755267662015
42.28,-0.00590098452616069
42.3,-0.00483239483799725
42.32,-0.00298366762777475
42.34,-0.00231441177257802
42.3599999999999,0.00068934219903722
42.38,0.00560316434800906
42.3999999999999,0.0102346030526124
42.42,0.0132715176531434
42.4399999999999,0.015790165565572
42.46,0.0156090124630407
42.48,0.0144361517653116
42.5,0.0119337961456763
42.52,0.00942019355580285
42.5399999999999,0.00811871264299543
42.56,0.00447814366186277
42.5799999999999,-0.000392634468038628
42.6,-0.00392279966887445
42.6199999999999,-0.00435345290504423
42.64,-0.00550727125387931
42.66,-0.00541405715207985
42.68,-0.00404090614442126
42.7,-0.00407643121364767
42.7199999999999,-0.00469844619196113
42.74,-0.00672631997088939
42.7599999999999,-0.00846968478245756
42.78,-0.00840659096164445
42.8,-0.00964522802074596
42.82,-0.0111815255340728
42.84,-0.0102142791011944
42.8599999999999,-0.00818510327460059
42.88,-0.00934055232408027
42.8999999999999,-0.00800773189025834
42.92,-0.00765388672679017
42.9399999999999,-0.00724950722844067
42.96,-0.0067766815942247
42.98,-0.00505202979368769
43,-0.00382339021285242
43.02,-0.00122300646451469
43.0399999999999,0.00256101679997854
43.06,0.00544017264953673
43.0799999999999,0.00831001055539627
43.1,0.0115924640341782
43.1199999999999,0.0160417783569857
43.14,0.0178837249098562
43.16,0.0193592344216498
43.18,0.020881505189925
43.2,0.0209501113052157
43.2199999999999,0.0177557597495382
43.24,0.0137957418800681
43.2599999999999,0.010747438909558
43.28,0.00752376770895352
43.3,0.00668134720080191
43.32,0.00617732522370648
43.34,0.0058922411996358
43.3599999999999,0.00569292421669842
43.38,0.00451314725286297
43.3999999999999,0.00296854117445934
43.42,0.0019572355521065
43.4399999999999,0.00341827861299445
43.46,0.00574938619288181
43.48,0.00841363356937677
43.5,0.0102275796206888
43.52,0.0126343218831406
43.5399999999999,0.0128928787229731
43.56,0.0106011886694324
43.5799999999999,0.0101029502447197
43.6,0.00851725786584978
43.6199999999999,0.00611590525158044
43.64,0.00474289103881538
43.66,0.00231177915680785
43.68,-0.00165700378470034
43.7,-0.00724619910258054
43.7199999999999,-0.00986249739781967
43.74,-0.0118680329305502
43.7599999999999,-0.011494308165406
43.78,-0.00950998939479427
43.8,-0.00533815609685174
43.82,-0.00548514325673352
