time_s,sr_output
39.98,-0.000276846302344036
40,-0.000444509865171638
40.02,-0.000600242503125292
40.0399999999999,-0.00249229514359672
40.06,-0.00234056343703737
40.0799999999999,-0.00158660376853292
40.1,-0.00234772420066764
40.1199999999999,-0.00445855350519886
40.14,-0.00621529743386628
40.16,-0.00711242055014016
40.18,-0.00810824264920329
40.2,-0.00913364072156764
40.2199999999999,-0.00842067900275123
40.24,-0.00766672557413151
40.2599999999999,-0.00746205087166507
40.28,-0.00693938032230845
40.3,-0.00613844311207734
40.32,-0.00619254607386255
40.34,-0.00564143761940872
40.3599999999999,-0.00611518219116847
40.38,-0.00685336934511283
40.3999999999999,-0.00594149938305011
40.42,-0.00401984595116356
40.4399999999999,-0.00280327868363217
40.46,0.000475686706010503
40.48,0.00377569017877055
40.5,0.00647508090275883
40.52,0.00946583151894831
40.5399999999999,0.0132216734590948
40.56,0.0161291050323399
40.5799999999999,0.018023182518344
40.6,0.0198915871083477
40.6199999999999,0.0218046094734715
40.64,0.0228028722230763
40.66,0.0229654366918458
40.68,0.0228177018932537
40.7,0.0230321880670504
40.7199999999999,0.0204093680464578
40.74,0.0195537314146129
40.7599999999999,0.0189205427330651
40.78,0.0189296159315567
40.8,0.0174567550422896
40.82,0.0166671677748406
40.84,0.0139845308151886
40.8599999999999,0.0106405625605276
40.88,0.00791830392168846
40.8999999999999,0.0044276779339435
40.92,0.00237012349157129
40.9399999999999,0.00206223363261271
40.96,0.00311579310591836
40.98,0.00357241102696781
41,0.0060984826872349
41.02,0.00758425621551473
41.0399999999999,0.0084230298158362
41.06,0.00919013074392361
41.0799999999999,0.0088960416496543
41.1,0.00720079628248838
41.1199999999999,0.00538190480140688
41.14,0.00407208507508983
41.16,0.00242347082157834
41.18,0.00328543485519195
41.2,0.00529225776377029
41.2199999999999,0.00796163891979618
41.24,0.0103788741386929
41.2599999999999,0.0121620985653358
41.28,0.0109979590473813
41.3,0.00892800083512724
41.32,0.00791056203917473
41.34,0.00780977457078713
41.3599999999999,0.00782876900375895
41.38,0.00992149070694059
41.3999999999999,0.0124145559586445
41.42,0.0152231123728611
41.4399999999999,0.0159945767083695
41.46,0.016587473637144
41.48,0.016703555614714
41.5,0.01755546417122
41.52,0.0178814637208567
41.5399999999999,0.019277704142744
41.56,0.020478764522578
41.5799999999999,0.0216323242229394
41.6,0.0222984608108988
41.6199999999999,0.019573652497287
41.64,0.0174342920614409
41.66,0.0154817573165514
41.68,0.013082822542008
41.7,0.00886341212525765
41.7199999999999,0.00650826902766222
41.74,0.00235957417927957
41.7599999999999,-0.000462021267605972
41.78,-0.00409603670891545
