SNRScale,OptimalMeanPd,RandomMeanPd,ConcentratedMeanPd,SingleMeanPd,AbsGainVsRandom,RelGainVsRandom
0.25,0.094,0.0556333333333333,0.076,0.0546666666666667,0.0383666666666667,0.689634511683643
0.5,0.223333333333333,0.140766666666667,0.192666666666667,0.132,0.0825666666666667,0.586549846080985
1,0.6,0.3718,0.481333333333333,0.254666666666667,0.2282,0.613770844540076
1.5,0.852,0.6081,0.714666666666667,0.46,0.2439,0.401085347804637
2,0.952,0.771733333333333,0.886,0.639333333333333,0.180266666666667,0.233586731167934
