time,lag1_autocorrelation,lag2_autocorrelation
2.5,0.07778034938728905,0.03639338493413833
2.51,0.07954674298050159,0.03850149979133279
2.52,0.07667202907725768,0.03853505616965949
2.53,0.07632162655098106,0.03818884121420315
2.54,0.07361471715336917,0.03788769515242116
2.55,0.07447020070179663,0.036767323588060674
2.56,0.07259321662891109,0.0334008504074765
2.57,0.07357675111543939,0.03309158306788271
2.58,0.07353433584022032,0.02881897837158226
2.59,0.07577009414735596,0.034507446044001806
2.6,0.07025233847777676,0.035333718628513484
2.61,0.07091615697337206,0.03416842626399353
2.62,0.07382059387062131,0.03737635210308463
2.63,0.07561490016098057,0.03902009668559842
2.64,0.07721005222798517,0.0417989133393446
2.65,0.0777458092492953,0.042781603330690775
2.66,0.07888822703340459,0.04457145646222273
2.67,0.07728673830205453,0.04205860777715833
2.68,0.07533656161514965,0.043446452987671566
2.69,0.07720922376693712,0.044349368968481226
2.7,0.07332067169523857,0.04263387269939436
2.71,0.06678031114518775,0.04552830770867168
2.72,0.06458033798920886,0.04788490277899467
2.73,0.06862748826045684,0.03925234593658874
2.74,0.06652589381151755,0.03760554794831516
2.75,0.06505781972848507,0.04435082262996699
2.76,0.06496619637639758,0.044132085371952366
2.77,0.06430262670811687,0.039050967903189626
2.78,0.06163326984549559,0.039305617669999855
2.79,0.06368371144930618,0.040312386679457225
2.8,0.06137049997148228,0.038921510202415716
2.81,0.06334537922090763,0.03818929249053922
2.82,0.06321255646087537,0.03811524541025059
2.83,0.06294684039054844,0.039057291097430336
2.84,0.06033170590197609,0.03975659124140882
2.85,0.05998376781455537,0.039517488877265305
2.86,0.0619722353444224,0.039179489153629135
2.87,0.05760736906670068,0.036148928553438715
2.88,0.0551387958832823,0.03460614364231874
2.89,0.05347644633971505,0.03380316592007839
2.9,0.05187783208251045,0.033392277762832434
2.91,0.05131675233898718,0.032558002687479375
2.92,0.04975705780332649,0.03248026039082912
2.93,0.04540663223390196,0.03623053474579208
2.94,0.04635473632064143,0.03650375848739934
2.95,0.04518134812413632,0.030231962193912686
2.96,0.043328175855782976,0.03050170370932578
2.97,0.04695025178271896,0.030972105377858602
2.98,0.04663271030915079,0.030340352451959617
2.99,0.046561830073218964,0.028285261031132613
3.0,0.04606153790099257,0.029010982058350464
3.01,0.0462259622638486,0.028986070003050236
3.02,0.04649493128406145,0.02981606297185621
3.03,0.04643641298555753,0.02959522487097732
3.04,0.044529905911826644,0.026625674715701046
3.05,0.04282727345099025,0.02681534146884658
3.06,0.04155150084945772,0.02647292760635065
3.07,0.042764374038472865,0.027127397756747815
3.08,0.04609395664555604,0.02978700490701749
3.09,0.04579519163804581,0.0302734192470734
3.1,0.04718793944066692,0.031108681434652057
3.11,0.046190192383903254,0.03200509832045066
3.12,0.04887757173885886,0.035844650840850145
3.13,0.04921097692557901,0.03190465922775534
3.14,0.0469049338443775,0.03241262435576386
3.15,0.050177218193376776,0.035737747632307706
3.16,0.04881644839477035,0.03624214646321015
3.17,0.047905725634962815,0.027996301853863863
3.18,0.046006649993384274,0.028946091212203488
3.19,0.04284826057057152,0.03444148486191244
3.2,0.04289019305817309,0.03384006456748597
3.21,0.04657893175045502,0.033784599341894726
3.22,0.043446236101913935,0.03170546083540472
3.23,0.043839861535643544,0.0278206784946609
3.24,0.04456994156859749,0.027367796976962688
3.25,0.040512076570181896,0.030209994720922426
3.26,0.04030093120268678,0.02714297484085243
3.27,0.040584418481658065,0.026921356046012465
3.28,0.0406967062627822,0.023350733255310445
3.29,0.0410528750751829,0.02379525419980216
3.3,0.03990878641096319,0.024062395186818814
3.31,0.03868911713763548,0.02115061563676848
3.32,0.040602785009938074,0.020117937020790677
3.33,0.035612941673028094,0.018560347291777687
3.34,0.03809217544086627,0.01649060797668184
3.35,0.0397136131540936,0.019706709273094983
3.36,0.042762412920607035,0.022536252562635282
3.37,0.0441321290350019,0.0221677236574028
3.38,0.04465289269201698,0.0194924849975388
3.39,0.04210930577824451,0.01903048956163934
