frequency_Hz,correlation_GLRT_score
1.95995000125179,0.052256554054839
1.95997000125179,0.0519065999490778
1.95999000125179,0.0515513677838892
1.96001000125179,0.0511912069096312
1.96003000125179,0.0508264516691451
1.96005000125179,0.050457421298069
1.96007000125179,0.0500844199179701
1.96009000125179,0.0497077366142048
1.96011000125179,0.0493276455882445
1.96013000125179,0.0489444063738564
1.96015000125179,0.0485582641063002
1.96017000125179,0.0481694498329671
1.96019000125179,0.0477781808547744
1.96021000125179,0.0473846610875648
1.96023000125179,0.0469890814340529
1.96025000125179,0.0465916201577376
1.96027000125179,0.0461924432513093
1.96029000125179,0.0457917047940268
1.96031000125179,0.0453895472936882
1.96033000125179,0.044986102010668
1.96035000125179,0.0445814892631187
1.96037000125179,0.0441758187141588
1.96039000125179,0.043769189642946
1.96041000125179,0.0433616912035991
1.96043000125179,0.0429534026763451
1.96045000125179,0.0425443937168192
1.96047000125179,0.0421347246096056
1.96049000125179,0.041724446533029
1.96051000125179,0.0413136018418766
1.96053000125179,0.0409022243749762
1.96055000125179,0.0404903397937337
1.96057000125179,0.0400779659576654
1.96059000125179,0.039665113341234
1.96061000125179,0.0392517854961518
1.96063000125179,0.0388379795612694
1.96065000125179,0.0384236868214945
1.96067000125179,0.0380088933152379
1.96069000125179,0.0375935804889024
1.96071000125179,0.037177725895163
1.96073000125179,0.0367613039307545
1.96075000125179,0.0363442866082532
1.96077000125179,0.0359266443548799
1.96079000125179,0.0355083468312016
1.96081000125179,0.0350893637610034
1.96083000125179,0.0346696657641156
1.96085000125179,0.0342492251828206
1.96087000125179,0.0338280168931498
1.96089000125179,0.0334060190922996
1.96091000125179,0.0329832140535366
1.96093000125179,0.0325595888414007
1.96095000125179,0.0321351359796617
1.96097000125179,0.0317098540665713
1.96099000125179,0.0312837483320618
1.96101000125179,0.0308568311331489
1.96103000125179,0.0304291223846672
1.96105000125179,0.0300006499242138
1.96107000125179,0.0295714498102234
1.96109000125179,0.029141566554174
1.96111000125179,0.0287110532885101
1.96113000125179,0.0282799718726515
1.96115000125179,0.0278483929402574
1.96117000125179,0.0274163958917375
1.96119000125179,0.0269840688360885
1.96121000125179,0.0265515084865029
1.96123000125179,0.0261188200149028
1.96125000125179,0.0256861168693595
1.96127000125179,0.0252535205594896
1.96129000125179,0.0248211604137887
1.96131000125179,0.0243891733127339
1.96133000125179,0.0239577034014009
1.96135000125179,0.023526901783964
1.96137000125179,0.023096926202913
1.96139000125179,0.0226679407044943
1.96141000125179,0.0222401152916343
1.96143000125179,0.0218136255651599
1.96145000125179,0.0213886523532494
1.96147000125179,0.0209653813293051
1.96149000125179,0.0205440026172085
1.96151000125179,0.0201247103835092
1.96153000125179,0.0197077024153531
1.96155000125179,0.0192931796831341
1.96157000125179,0.018881345886784
1.96159000125179,0.0184724069846934
1.96161000125179,0.0180665707045719
1.96163000125179,0.0176640460355534
1.96165000125179,0.0172650427014175
1.96167000125179,0.0168697706150702
1.96169000125179,0.0164784393146765
1.96171000125179,0.0160912573824239
1.96173000125179,0.0157084318472966
1.96175000125179,0.0153301675734464
1.96177000125179,0.0149566666365482
1.96179000125179,0.0145881276902146
1.96181000125179,0.0142247453256993
1.96183000125179,0.0138667094276301
1.96185000125179,0.0135142045291459
1.96187000125179,0.0131674091698785
1.96189000125179,0.0128264952603406
1.96191000125179,0.012491627456194
1.96193000125179,0.0121629625459937
1.96195000125179,0.0118406488559537
1.96197000125179,0.0115248256750503
1.96199000125179,0.0112156227036925
1.96201000125179,0.010913159529102
1.96203000125179,0.0106175451300189
1.96205000125179,0.0103288774136471
1.96207000125179,0.0100472427868201
1.96209000125179,0.00977271576379772
1.96211000125179,0.00950535861241713
1.96213000125179,0.00924522104006288
1.96215000125179,0.00899233992107134
1.96217000125179,0.00874673906647846
1.96219000125179,0.0085084290371107
1.96221000125179,0.0082774070006923
1.96223000125179,0.00805365663359489
1.96225000125179,0.00783714806744797
1.96227000125179,0.00762783788093751
1.96229000125179,0.00742566913692052
1.96231000125179,0.00723057146462275
1.96233000125179,0.00704246118707364
1.96235000125179,0.00686124149333958
1.96237000125179,0.00668680265520302
1.96239000125179,0.00651902228807132
1.96241000125179,0.00635776565540421
1.96243000125179,0.00620288601622641
1.96245000125179,0.00605422501494063
1.96247000125179,0.00591161311276502
1.96249000125179,0.00577487005993925
1.96251000125179,0.00564380540768616
1.96253000125179,0.00551821905896595
1.96255000125179,0.00539790185690289
1.96257000125179,0.00528263620951292
1.96259000125179,0.0051721967495498
1.96261000125179,0.00506635102786315
1.96263000125179,0.00496486023877566
1.96265000125179,0.0048674799757952
1.96267000125179,0.004773961015824
1.96269000125179,0.00468405012997234
1.96271000125179,0.00459749091899612
1.96273000125179,0.00451402467115985
1.96275000125179,0.00443339124036896
1.96277000125179,0.00435532994220378
1.96279000125179,0.00427958046541974
1.96281000125179,0.00420588379641807
1.96283000125179,0.00413398315412309
1.96285000125179,0.00406362493246626
1.96287000125179,0.00399455964789387
1.96289000125179,0.00392654288893397
1.96291000125179,0.00385933626508938
1.96293000125179,0.00379270835203911
1.96295000125179,0.00372643563029297
1.96297000125179,0.00366030341428672
1.96299000125179,0.00359410676897185
1.96301000125179,0.00352765141092841
1.96303000125179,0.00346075459101983
1.96305000125179,0.00339324595574402
1.96307000125179,0.00332496838424912
1.96309000125179,0.00325577879838275
1.96311000125179,0.00318554894279677
1.96313000125179,0.00311416613261159
1.96315000125179,0.00304153396589615
1.96317000125179,0.00296757299851517
1.96319000125179,0.00289222137899827
1.96321000125179,0.00281543544103059
1.96323000125179,0.00273719025149049
1.96325000125179,0.00265748011194031
1.96327000125179,0.00257631901164165
1.96329000125179,0.00249374103030936
1.96331000125179,0.00240980068888703
1.96333000125179,0.00232457324680286
1.96335000125179,0.0022381549442451
1.96337000125179,0.00215066318811363
1.96339000125179,0.00206223668041625
1.96341000125179,0.00197303548802146
1.96343000125179,0.00188324105270943
1.96345000125179,0.00179305614066753
1.96347000125179,0.00170270473058345
1.96349000125179,0.00161243183968366
1.96351000125179,0.0015225032871551
1.96353000125179,0.00143320539443329
1.96355000125179,0.00134484462217653
1.96357000125179,0.00125774714359663
1.96359000125179,0.00117225835425972
1.96361000125179,0.00108874231841295
1.96363000125179,0.00100758115223737
1.96365000125179,0.000929174344532447
1.96367000125179,0.000853938015532892
1.96369000125179,0.000782304114871734
1.96371000125179,0.000714719559822497
1.96373000125179,0.000651645315276483
1.96375000125179,0.000593555417097769
1.96377000125179,0.000540935940764922
1.96379000125179,0.000494283917429886
1.96381000125179,0.000454106199774812
1.96383000125179,0.000420918280230917
1.96385000125179,0.000395243064374586
1.96387000125179,0.00037760960243767
1.96389000125179,0.000368551782062266
1.96391000125179,0.000368606985595635
1.96393000125179,0.000378314715230234
1.96395000125179,0.000398215189475635
1.96397000125179,0.000428847914450209
1.96399000125179,0.000470750233494784
1.96401000125179,0.000524455858646804
1.96403000125179,0.000590493387474447
1.96405000125179,0.000669384808724074
1.96407000125179,0.00076164400023442
1.96409000125179,0.00086777522243004
1.96411000125179,0.000988271610786988
1.96413000125179,0.00112361367047633
1.96415000125179,0.00127426777643301
1.96417000125179,0.00144068468212646
1.96419000125179,0.00162329804014005
1.96421000125179,0.00182252293792617
1.96423000125179,0.00203875445193756
1.96425000125179,0.00227236622353156
1.96427000125179,0.00252370906015593
1.96429000125179,0.00279310956532211
1.96431000125179,0.00308086880122451
1.96433000125179,0.00338726098773921
1.96435000125179,0.00371253224197259
1.96437000125179,0.00405689936244207
1.96439000125179,0.00442054866232933
1.96441000125179,0.00480363485612445
1.96443000125179,0.00520628000424314
1.96445000125179,0.00562857252021381
1.96447000125179,0.00607056624491613
1.96449000125179,0.0065322795922705
1.96451000125179,0.00701369477094422
1.96453000125179,0.00751475708593186
1.96455000125179,0.00803537432393487
1.96457000125179,0.0085754162261207
1.96459000125179,0.00913471405113592
1.96461000125179,0.00971306023113908
1.96463000125179,0.010310208122662
1.96465000125179,0.0109258718540263
1.96467000125179,0.0115597262698706
1.96469000125179,0.012211406973163
1.96471000125179,0.0128805104643852
1.96473000125179,0.0135665943764727
1.96475000125179,0.0142691778044488
