sheet,samples,dt,fs_hz,freq_hz,amplitude,phase_rad,phase_deg,offset,slope,residual_rms,snr_db,nearest_fft_freq_hz,nearest_fft_amp
单源故障,40001,0.009999999999990905,100.00000000009095,2.000000781232288,0.035190318295485516,1.5745860674437355,90.21713614462764,4.377676707533745e-05,-7.622096307446924e-07,0.10001364137096332,-12.083020849559553,1.9999500012517875,0.036156493817516365
单源故障,40001,0.009999999999990905,100.00000000009095,35.830363889372855,0.0030925287442252316,-2.0248054481904902,-116.01280651641017,4.475587234548935e-05,-7.612090073233317e-07,0.10303951458535582,-33.46410113879203,35.829104272425774,0.003930120113350168
单源故障,40001,0.009999999999990905,100.00000000009095,6.072087270089395,0.0026763141254815452,0.6184690190521325,35.435664551283296,4.4681544431146326e-05,-7.562227407286164e-07,0.1030453393280512,-34.72012530514666,6.0723481913007396,0.00369925821402254
单源故障,40001,0.009999999999990905,100.00000000009095,49.44006759210516,0.002641034617901305,1.1213688655129006,64.24970327126242,4.4608663398701306e-05,-7.612327179136805e-07,0.10304579635098793,-34.835423677131956,49.438764030944185,0.0035766278314620804
单源故障,40001,0.009999999999990905,100.00000000009095,12.595232648492118,0.0022729559765454635,0.1632483076410107,9.353439040483181,4.46290284909034e-05,-7.596751084753325e-07,0.10305018350029635,-36.13945486122774,12.544686382851838,0.003561384828377887
单源故障,40001,0.009999999999990905,100.00000000009095,41.40618178641096,0.002463398019525716,2.833320310095514,162.33729577717062,4.469076745531618e-05,-7.608640603764573e-07,0.10304799528523632,-35.440399145031606,41.406464838416696,0.003534437768532402
单源故障,40001,0.009999999999990905,100.00000000009095,49.44009422229878,0.0026413254869756403,1.0806650692352857,61.91754753439477,4.460900119657826e-05,-7.61245168932629e-07,0.10304579319221573,-34.834466847280915,49.46376340595984,0.0035340379382484046
单源故障,40001,0.009999999999990905,100.00000000009095,11.234115704734785,0.0025543634717694256,-1.447832958432545,-82.95471795812477,4.4600326147061215e-05,-7.62889110655831e-07,0.10304688735416923,-35.125343615489065,11.234719132031916,0.003499140076801624
多故障源,40001,0.009999999999990905,100.00000000009095,14.000019140159228,0.0400525623305305,0.11804994890077752,6.763763843749584,-0.0003383515434401942,4.935200306381907e-07,0.10258335975736184,-11.17923223267786,13.999650008762513,0.03968937490461589
多故障源,40001,0.009999999999990905,100.00000000009095,7.999932814186921,0.02488877177064613,-2.994487029763707,-171.57146861212613,-0.0003381764962368017,4.2535887082029156e-07,0.10495574940030993,-15.510355329716358,7.99980000500715,0.024350190444011797
多故障源,40001,0.009999999999990905,100.00000000009095,3.99999765631223,0.01910265486727263,1.3721718654001351,78.61965665402101,-0.00033865950555233285,4.73648485318362e-07,0.105560266012992,-17.85843489133082,3.999900002503575,0.019933742571427104
多故障源,40001,0.009999999999990905,100.00000000009095,13.000093942975747,0.010503648052847285,-2.1647659563582193,-124.03195293292733,-0.0003379072250976336,4.5836413182717695e-07,0.10616150575895301,-23.102838125138916,12.999675008136618,0.010956006948239606
多故障源,40001,0.009999999999990905,100.00000000009095,5.1957274847472945,0.002918983636291025,-0.37526993707702544,-21.501383572653527,-0.00033840549942592435,4.6502952790903815e-07,0.10640098433807367,-34.24457966406283,5.194870128251519,0.003713266900676652
多故障源,40001,0.009999999999990905,100.00000000009095,6.7029738758545125,0.003037739466292145,-1.3911795599128771,-79.7087173278751,-0.00033801526121594487,4.649323361808483e-07,0.10639932158327743,-33.89806666208321,6.702332441695053,0.003688930736630985
多故障源,40001,0.009999999999990905,100.00000000009095,2.622078464154062,0.002636276260627111,-0.6050483442853831,-34.666716528930834,-0.0003385165881086267,4.668679216435906e-07,0.10640467498880374,-35.12969576911358,2.6224344391414065,0.003534074995826078
多故障源,40001,0.009999999999990905,100.00000000009095,44.9609367066037,0.0024621749840873417,-2.1932813654421692,-125.66576552452666,-0.0003381747429031135,4.618731674118498e-07,0.10640675971741365,-35.723306032565276,45.81135471617376,0.0034978976753183766
